RNG Seed:  999
Loading CelebA dataset (Download size: 1.4GB)
Files already downloaded and verified
CelebA loaded (162770 images)
Dataloader created: 1271 batches per epoch
Batch size: 128
Image size: 64 by 64
Total batches: 1271
[3/5][1050/1271]	Loss_D: 0.9459	Loss_G: 3.8496	D(x): 0.8849	D(G(z)): 0.4996 / 0.0325
[3/5][1100/1271]	Loss_D: 0.5623	Loss_G: 3.2022	D(x): 0.8892	D(G(z)): 0.3246 / 0.0557
[3/5][1150/1271]	Loss_D: 0.6065	Loss_G: 2.0993	D(x): 0.7517	D(G(z)): 0.2307 / 0.1512
[3/5][1200/1271]	Loss_D: 0.5722	Loss_G: 2.8149	D(x): 0.8389	D(G(z)): 0.2894 / 0.0834
[3/5][1250/1271]	Loss_D: 1.9179	Loss_G: 4.2169	D(x): 0.9529	D(G(z)): 0.7806 / 0.0280
[4/5][0/1271]	Loss_D: 0.5149	Loss_G: 3.2121	D(x): 0.8760	D(G(z)): 0.2862 / 0.0540
[4/5][50/1271]	Loss_D: 0.4569	Loss_G: 2.1767	D(x): 0.7677	D(G(z)): 0.1503 / 0.1349
[4/5][100/1271]	Loss_D: 0.4838	Loss_G: 2.3691	D(x): 0.7860	D(G(z)): 0.1898 / 0.1157
[4/5][150/1271]	Loss_D: 0.5944	Loss_G: 1.7510	D(x): 0.6975	D(G(z)): 0.1641 / 0.2037
[4/5][200/1271]	Loss_D: 0.6897	Loss_G: 1.3461	D(x): 0.6065	D(G(z)): 0.1086 / 0.3114
[4/5][250/1271]	Loss_D: 0.4639	Loss_G: 2.3140	D(x): 0.7777	D(G(z)): 0.1562 / 0.1291
[4/5][300/1271]	Loss_D: 0.6166	Loss_G: 1.3153	D(x): 0.7014	D(G(z)): 0.1813 / 0.3090
[4/5][350/1271]	Loss_D: 0.8649	Loss_G: 4.9979	D(x): 0.9162	D(G(z)): 0.4938 / 0.0107
[4/5][400/1271]	Loss_D: 0.4112	Loss_G: 3.0427	D(x): 0.8132	D(G(z)): 0.1635 / 0.0624
[4/5][450/1271]	Loss_D: 0.6477	Loss_G: 4.0733	D(x): 0.9093	D(G(z)): 0.3909 / 0.0234
[4/5][500/1271]	Loss_D: 0.5582	Loss_G: 1.9610	D(x): 0.6837	D(G(z)): 0.1113 / 0.1886
[4/5][550/1271]	Loss_D: 0.7361	Loss_G: 3.7723	D(x): 0.9209	D(G(z)): 0.4380 / 0.0328
